I0,I1,I2,I3,I4,I5
6851,5148,5357,-391,-775,1166
6910,5433,5089,-992,-649,1641
6994,5883,5005,-853,-709,1562
7009,6437,4990,-489,-519,1008
6655,6488,5344,-634,547,87
5943,6667,5332,-1038,1586,-548
5533,6465,5553,-842,1339,-497
5446,6554,5974,-413,764,-351
5177,6821,6469,565,117,-682
5144,6854,6424,1507,-865,-642
5121,6700,6878,1527,-1135,-392
4875,6083,7124,1476,-1096,-380
5003,5243,6996,1463,-821,-642
5915,4961,7038,1071,-601,-470
6861,5040,6959,298,-81,-217
7042,4957,5898,-233,131,102
6865,5533,5134,-234,-484,718
6680,5978,5318,666,-1163,497
6683,6497,5316,1316,-1079,-237
6383,6775,5224,1064,-744,-320
5866,6874,5124,685,-553,-132
5331,6840,5158,549,-564,15
5061,6937,5480,422,-602,180
5011,6987,6011,217,-685,468
5103,6895,6819,378,-943,565
5052,6201,6946,684,-939,255
5157,5559,6841,542,-647,105
5595,5225,6774,496,-533,37
6443,5209,6789,69,-212,143
6992,5005,6581,-752,487,265
7025,4973,6020,-1086,906,180
6955,5043,5393,-802,676,126
6877,5506,5121,-365,530,-165
6613,6218,5387,280,521,-801
6128,6586,5413,984,304,-1288
5716,6779,5219,1141,-194,-947
5417,6824,5175,1152,-1036,-116
5110,6889,5391,959,-1168,209
4891,7109,5945,783,-1102,319
5010,6988,6680,736,-1053,317
5044,6346,6955,487,-1023,536
5400,5612,6599,-74,-682,756
6024,5501,6497,-810,-553,1363
6375,5221,6777,-1048,32,1016
6653,5153,6846,-1214,1379,-165
6920,5079,6588,-1176,1646,-470
7154,4845,6002,-1024,1457,-433
7042,4957,5204,-1044,1451,-407
7089,5816,4908,-745,1233,-488
6874,6711,5125,-515,840,-325
6101,6775,5223,-502,752,-250
5356,6643,5496,-85,712,-627
5125,6873,6157,733,343,-1076
5021,6977,6115,1397,-304,-1093
5021,6979,6683,1329,-867,-462
4971,6391,7028,1157,-1009,-148
5047,5632,6952,660,-732,72
5623,5199,6800,566,-790,224
6447,5402,6596,239,-854,615
6728,5270,5988,-244,-864,1108
6798,5201,5556,-1084,-464,1548
6875,5124,5489,-1456,-31,1487
